"","country","total_arrivals","gender","arrivals"
"1","SGP",34496707,"Male",19735426
"2","SGP",34496707,"Female",14761281
"3","IDN",8477856,"Male",4091695
"4","IDN",8477856,"Female",4386161
"5","THA",5647418,"Male",3285770
"6","THA",5647418,"Female",2361648
"7","CHN",4008013,"Male",1928203
"8","CHN",4008013,"Female",2079810
"9","BRN",2588744,"Male",1409405
"10","BRN",2588744,"Female",1179339
"11","IND",2345086,"Male",1606732
"12","IND",2345086,"Female",738354
"13","BGD",1165402,"Male",1094288
"14","BGD",1165402,"Female",71114
"15","PHL",1147669,"Male",417373
"16","PHL",1147669,"Female",730296
"17","KOR",1057434,"Male",534237
"18","KOR",1057434,"Female",523197
"19","AUS",889069,"Male",510076
"20","AUS",889069,"Female",378993
